price_type,time,price_value
EPEX SPOT Power DE Day Ahead,2016-01-01T01:00,0.00002239
EPEX SPOT Power DE Day Ahead,2016-01-01T02:00,0.00002059
EPEX SPOT Power DE Day Ahead,2016-01-01T03:00,0.00001681
EPEX SPOT Power DE Day Ahead,2016-01-01T04:00,0.00001741
EPEX SPOT Power DE Day Ahead,2016-01-01T05:00,0.00001702
EPEX SPOT Power DE Day Ahead,2016-01-01T06:00,0.00001586
EPEX SPOT Power DE Day Ahead,2016-01-01T07:00,0.00001816
EPEX SPOT Power DE Day Ahead,2016-01-01T08:00,0.00001773
EPEX SPOT Power DE Day Ahead,2016-01-01T09:00,0.00001977
EPEX SPOT Power DE Day Ahead,2016-01-01T10:00,0.00002375
EPEX SPOT Power DE Day Ahead,2016-01-01T11:00,0.00002603
EPEX SPOT Power DE Day Ahead,2016-01-01T12:00,0.00002706
EPEX SPOT Power DE Day Ahead,2016-01-01T13:00,0.00002659
EPEX SPOT Power DE Day Ahead,2016-01-01T14:00,0.000025
EPEX SPOT Power DE Day Ahead,2016-01-01T15:00,0.00002704
EPEX SPOT Power DE Day Ahead,2016-01-01T16:00,0.00003446
EPEX SPOT Power DE Day Ahead,2016-01-01T17:00,0.00004514
EPEX SPOT Power DE Day Ahead,2016-01-01T18:00,0.00004
EPEX SPOT Power DE Day Ahead,2016-01-01T19:00,0.00003534
EPEX SPOT Power DE Day Ahead,2016-01-01T20:00,0.00003307
EPEX SPOT Power DE Day Ahead,2016-01-01T21:00,0.00002952
EPEX SPOT Power DE Day Ahead,2016-01-01T22:00,0.0000301
EPEX SPOT Power DE Day Ahead,2016-01-01T23:00,0.00002457
EPEX SPOT Power DE Day Ahead,2016-01-02T00:00,0.0000222
EPEX SPOT Power DE Day Ahead,2016-01-02T01:00,0.00001657
EPEX SPOT Power DE Day Ahead,2016-01-02T02:00,0.00001535
EPEX SPOT Power DE Day Ahead,2016-01-02T03:00,0.00001277
EPEX SPOT Power DE Day Ahead,2016-01-02T04:00,0.00001127
EPEX SPOT Power DE Day Ahead,2016-01-02T05:00,0.00001191
EPEX SPOT Power DE Day Ahead,2016-01-02T06:00,0.00001262
EPEX SPOT Power DE Day Ahead,2016-01-02T07:00,0.00001527
EPEX SPOT Power DE Day Ahead,2016-01-02T08:00,0.00002234
EPEX SPOT Power DE Day Ahead,2016-01-02T09:00,0.00002744
EPEX SPOT Power DE Day Ahead,2016-01-02T10:00,0.000037
EPEX SPOT Power DE Day Ahead,2016-01-02T11:00,0.000038
EPEX SPOT Power DE Day Ahead,2016-01-02T12:00,0.00004668
EPEX SPOT Power DE Day Ahead,2016-01-02T13:00,0.00004244
EPEX SPOT Power DE Day Ahead,2016-01-02T14:00,0.00003494
EPEX SPOT Power DE Day Ahead,2016-01-02T15:00,0.000029
EPEX SPOT Power DE Day Ahead,2016-01-02T16:00,0.000032
EPEX SPOT Power DE Day Ahead,2016-01-02T17:00,0.000045
EPEX SPOT Power DE Day Ahead,2016-01-02T18:00,0.00004465
EPEX SPOT Power DE Day Ahead,2016-01-02T19:00,0.000039
EPEX SPOT Power DE Day Ahead,2016-01-02T20:00,0.000035
EPEX SPOT Power DE Day Ahead,2016-01-02T21:00,0.00002754
EPEX SPOT Power DE Day Ahead,2016-01-02T22:00,0.00003218
EPEX SPOT Power DE Day Ahead,2016-01-02T23:00,0.00003012
EPEX SPOT Power DE Day Ahead,2016-01-03T00:00,0.00002139
EPEX SPOT Power DE Day Ahead,2016-01-03T01:00,0.00001891
EPEX SPOT Power DE Day Ahead,2016-01-03T02:00,0.00001907
EPEX SPOT Power DE Day Ahead,2016-01-03T03:00,0.0000161
EPEX SPOT Power DE Day Ahead,2016-01-03T04:00,0.00001397
EPEX SPOT Power DE Day Ahead,2016-01-03T05:00,0.00001537
EPEX SPOT Power DE Day Ahead,2016-01-03T06:00,0.00001547
EPEX SPOT Power DE Day Ahead,2016-01-03T07:00,0.00001604
EPEX SPOT Power DE Day Ahead,2016-01-03T08:00,0.00001844
EPEX SPOT Power DE Day Ahead,2016-01-03T09:00,0.0000231
EPEX SPOT Power DE Day Ahead,2016-01-03T10:00,0.00003244
EPEX SPOT Power DE Day Ahead,2016-01-03T11:00,0.00003411
EPEX SPOT Power DE Day Ahead,2016-01-03T12:00,0.00003379
EPEX SPOT Power DE Day Ahead,2016-01-03T13:00,0.00004131
EPEX SPOT Power DE Day Ahead,2016-01-03T14:00,0.00002618
EPEX SPOT Power DE Day Ahead,2016-01-03T15:00,0.00002334
EPEX SPOT Power DE Day Ahead,2016-01-03T16:00,0.00002168
EPEX SPOT Power DE Day Ahead,2016-01-03T17:00,0.00002494
EPEX SPOT Power DE Day Ahead,2016-01-03T18:00,0.00002676
EPEX SPOT Power DE Day Ahead,2016-01-03T19:00,0.000028
EPEX SPOT Power DE Day Ahead,2016-01-03T20:00,0.00002533
EPEX SPOT Power DE Day Ahead,2016-01-03T21:00,0.00002211
EPEX SPOT Power DE Day Ahead,2016-01-03T22:00,0.00002994
EPEX SPOT Power DE Day Ahead,2016-01-03T23:00,0.0000231
EPEX SPOT Power DE Day Ahead,2016-01-04T00:00,0.00001378
EPEX SPOT Power DE Day Ahead,2016-01-04T01:00,0.00001509
EPEX SPOT Power DE Day Ahead,2016-01-04T02:00,0.00001494
EPEX SPOT Power DE Day Ahead,2016-01-04T03:00,0.00001506
EPEX SPOT Power DE Day Ahead,2016-01-04T04:00,0.00001639
EPEX SPOT Power DE Day Ahead,2016-01-04T05:00,0.00001643
EPEX SPOT Power DE Day Ahead,2016-01-04T06:00,0.00002299
EPEX SPOT Power DE Day Ahead,2016-01-04T07:00,0.00004179
EPEX SPOT Power DE Day Ahead,2016-01-04T08:00,0.00004269
EPEX SPOT Power DE Day Ahead,2016-01-04T09:00,0.00003346
